condition,drugName,rating,usefulCount
Birth Control,Lybrel,5,17
Birth Control,Ortho Evra,8,10
Birth Control,Ethinyl estradiol / levonorgestrel,8,1
Depression,L-methylfolate,10,54
Birth Control,Nexplanon,3,10
Birth Control,Etonogestrel,9,11
Depression,Sertraline,8,3
Depression,Venlafaxine,4,3
"Diabetes, Type 2",Dulaglutide,10,24
Birth Control,Implanon,2,1
Birth Control,Drospirenone / ethinyl estradiol,3,8
Birth Control,Implanon,1,2
Birth Control,NuvaRing,5,9
Depression,Effexor XR,10,166
Birth Control,Gildess Fe 1 / 20,2,2
Birth Control,Etonogestrel,10,1
Birth Control,Nexplanon,6,1
Birth Control,Lo Loestrin Fe,2,5
Depression,Wellbutrin,4,15
Birth Control,NuvaRing,7,9
Birth Control,Levonorgestrel,1,10
Birth Control,Sronyx,3,3
Depression,Aripiprazole,4,33
Birth Control,NuvaRing,5,0
High Blood Pressure,Amlodipine / olmesartan,10,10
Birth Control,Levonorgestrel,10,1
Birth Control,Ethinyl estradiol / levonorgestrel,9,10
Birth Control,Jolivette,8,10
Birth Control,Aviane,9,3
Birth Control,Etonogestrel,3,0
Birth Control,Ethinyl estradiol / levonorgestrel,10,23
Birth Control,Depo-Provera,6,1
Birth Control,Etonogestrel,9,8
Birth Control,Levonorgestrel,2,2
Depression,Desvenlafaxine,10,101
Birth Control,Levonorgestrel,3,4
"Diabetes, Type 2",Dulaglutide,9,12
Depression,Fluoxetine,1,19
Birth Control,Etonogestrel,5,6
Depression,Bupropion,4,0
Birth Control,Ethinyl estradiol / norgestimate,5,4
Birth Control,Nexplanon,4,4
Birth Control,Etonogestrel,9,104
Birth Control,Mirena,9,4
Birth Control,Ethinyl estradiol / norelgestromin,10,115
Depression,Trintellix,5,28
Birth Control,Levonorgestrel,10,1
"Diabetes, Type 2",Liraglutide,5,18
Birth Control,Reclipsen,6,3
Depression,Bupropion,10,14
High Blood Pressure,Lisinopril,10,55
Birth Control,Ethinyl estradiol / norgestimate,3,2
"Diabetes, Type 2",Empagliflozin,10,47
Birth Control,Mirena,10,16
Birth Control,Skyla,6,1
Birth Control,Nexplanon,4,3
High Blood Pressure,Metoprolol,2,19
Birth Control,Jolivette,8,1
Birth Control,Nexplanon,7,6
Birth Control,Ortho Tri-Cyclen,1,13
Depression,Fluoxetine,8,5
"Diabetes, Type 2",Victoza,10,6
Birth Control,Ethinyl estradiol / norelgestromin,10,8
Birth Control,Ethinyl estradiol / norethindrone,1,4
Depression,Trazodone,7,99
Depression,Pristiq,6,13
Birth Control,Implanon,1,0
Birth Control,Ethinyl estradiol / norethindrone,9,100
Depression,Levomilnacipran,1,41
"Diabetes, Type 2",Liraglutide,10,6
"Diabetes, Type 2",Liraglutide,10,13
Depression,Desvenlafaxine,8,93
Depression,Cymbalta,8,74
Birth Control,Seasonique,5,24
Birth Control,Gildess Fe 1 / 20,1,7
Birth Control,Liletta,9,6
"Diabetes, Type 2",Exenatide,6,34
"Diabetes, Type 2",Bydureon,10,13
"Diabetes, Type 2",Victoza,10,68
Birth Control,Levonorgestrel,4,3
Birth Control,Ethinyl estradiol / norgestimate,2,5
Birth Control,Ethinyl estradiol / norgestimate,1,24
Birth Control,Ethinyl estradiol / norgestimate,7,7
"Diabetes, Type 2",Victoza,1,5
Birth Control,Medroxyprogesterone,8,1
Depression,Escitalopram,8,376
Birth Control,Nexplanon,2,13
Depression,Venlafaxine,1,14
Depression,Nardil,10,47
Depression,Zoloft,10,88
Birth Control,Ethinyl estradiol / levonorgestrel,3,3
Birth Control,Levora,9,1
Birth Control,Etonogestrel,8,5
Birth Control,ParaGard,9,12
Birth Control,Ethinyl estradiol / norethindrone,5,4
Birth Control,Seasonique,4,4
Birth Control,Ethinyl estradiol / levonorgestrel,9,5
Birth Control,Levonorgestrel,10,2
Birth Control,Depo-Provera,2,2
Depression,Trazodone,10,63
High Blood Pressure,Prazosin,6,2
Birth Control,ParaGard,10,14
Birth Control,Nexplanon,1,2
"Diabetes, Type 2",Dulaglutide,8,13
Birth Control,Etonogestrel,9,5
Birth Control,Ethinyl estradiol / levonorgestrel,2,7
Birth Control,Ocella,8,22
Birth Control,Levonorgestrel,7,1
Birth Control,Jolivette,9,10
Birth Control,Depo-Provera,10,5
Birth Control,Nexplanon,10,5
Depression,Methylphenidate,10,54
Depression,Escitalopram,10,81
Birth Control,Copper,9,10
Depression,Bupropion,8,46
Birth Control,Microgestin Fe 1 / 20,4,16
Birth Control,Etonogestrel,4,1
Birth Control,Ethinyl estradiol / norgestimate,1,10
"Diabetes, Type 2",Exenatide,10,33
Birth Control,Drospirenone / ethinyl estradiol,9,0
Birth Control,Etonogestrel,8,1
Depression,Wellbutrin XL,6,42
High Blood Pressure,Metoprolol,10,55
Depression,Lexapro,9,46
Birth Control,Ethinyl estradiol / norethindrone,10,4
Birth Control,Implanon,3,1
Birth Control,NuvaRing,10,37
