condition,drugName,avg_rating,total_useful_count
ADHD,Selegiline,10.0,17
ADHD,ProCentra,10.0,2
ADHD,Desoxyn,9.5625,1343
ADHD,Cylert,9.5,67
ADHD,Pemoline,9.5,59
ADHD,Catapres,9.333333333333334,120
ADHD,Provigil,9.0,427
ADHD,Wellbutrin XL,9.0,416
ADHD,Ritalin LA,9.0,116
ADHD,Desvenlafaxine,9.0,16
ADHD,Ritalin-SR,9.0,1
ADHD,Clonidine,8.916666666666666,1324
ADHD,Modafinil,8.75,818
ADHD,Dextroamphetamine,8.691176470588236,2269
ADHD,Amantadine,8.666666666666666,47
ADHD,Dexedrine,8.63265306122449,2267
ADHD,Methamphetamine,8.565217391304348,1396
ADHD,Methylin,8.5,185
ADHD,Zenzedi,8.5,96
ADHD,Methylin ER,8.428571428571429,141
ADHD,Nuvigil,8.333333333333334,266
ADHD,Adderall,8.33125,7186
ADHD,Daytrana,8.244444444444444,1007
ADHD,Adderall XR,8.14018691588785,3221
ADHD,Wellbutrin SR,8.0,613
ADHD,Omega-3 polyunsaturated fatty acids,8.0,264
ADHD,Amphetamine / dextroamphetamine,7.997167138810198,11282
ADHD,Kapvay,7.833333333333333,983
ADHD,Bupropion,7.793103448275862,4180
ADHD,Focalin XR,7.78,1691
ADHD,Vyvanse,7.698979591836735,12701
ADHD,Lisdexamfetamine,7.628992628992629,12812
ADHD,Evekeo,7.538461538461538,142
ADHD,Ritalin,7.524590163934426,2204
ADHD,Dexmethylphenidate,7.443298969072165,3234
ADHD,Armodafinil,7.375,232
ADHD,Methylphenidate,7.342783505154639,12436
ADHD,Concerta,7.247368421052632,7645
ADHD,Pristiq,7.0,27
ADHD,Focalin,6.9,1541
ADHD,Metadate CD,6.851851851851852,727
ADHD,Amphetamine,6.613636363636363,406
ADHD,Dyanavel XR,6.375,71
ADHD,Aptensio XR,6.333333333333333,22
ADHD,Adzenys XR-ODT,6.277777777777778,152
ADHD,Intuniv,6.060975609756097,5320
ADHD,Desipramine,6.0,8
ADHD,Guanfacine,5.890756302521009,6287
ADHD,Strattera,5.50761421319797,6760
ADHD,Wellbutrin,5.5,448
ADHD,Atomoxetine,5.4088669950738915,7162
ADHD,Quillivant XR,5.3,84
ADHD,Mydayis,4.7272727272727275,108
ADHD,Imipramine,3.0,23
ADHD,Tenex,1.0,13
Abnormal Uterine Bleeding,Megace,10.0,107
Abnormal Uterine Bleeding,Lo / Ovral-28,10.0,9
Abnormal Uterine Bleeding,CamreseLo,10.0,2
Abnormal Uterine Bleeding,Nortrel 1 / 35,10.0,2
Abnormal Uterine Bleeding,Tri-Lo-Marzia,10.0,2
Abnormal Uterine Bleeding,Loestrin 21 1 / 20,9.0,4
Abnormal Uterine Bleeding,Mestranol / norethindrone,9.0,1
Abnormal Uterine Bleeding,Necon 1 / 50,9.0,0
Abnormal Uterine Bleeding,Microgestin Fe 1.5 / 30,8.5,9
Abnormal Uterine Bleeding,Ortho Micronor,8.25,142
Abnormal Uterine Bleeding,Ortho-Novum 7 / 7 / 7,8.0,8
Abnormal Uterine Bleeding,Low-Ogestrel-21,8.0,4
Abnormal Uterine Bleeding,TriNessa Lo,8.0,1
Abnormal Uterine Bleeding,Aviane,7.666666666666667,24
Abnormal Uterine Bleeding,Necon 1 / 35,7.666666666666667,6
Abnormal Uterine Bleeding,Tri-Linyah,7.5,2
Abnormal Uterine Bleeding,Sronyx,6.666666666666667,15
Abnormal Uterine Bleeding,Levlen,6.666666666666667,9
Abnormal Uterine Bleeding,Megestrol,6.5,437
Abnormal Uterine Bleeding,Loestrin 24 Fe,6.424242424242424,416
Abnormal Uterine Bleeding,Ortho Tri-Cyclen,6.333333333333333,31
Abnormal Uterine Bleeding,Mononessa,6.315789473684211,189
Abnormal Uterine Bleeding,Apri,6.0,16
Abnormal Uterine Bleeding,Seasonale,6.0,5
Abnormal Uterine Bleeding,Balziva,6.0,1
Abnormal Uterine Bleeding,TriNessa,5.833333333333333,52
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,5.823529411764706,58
Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,5.75,14
Abnormal Uterine Bleeding,Orsythia,5.666666666666667,19
Abnormal Uterine Bleeding,Previfem,5.666666666666667,3
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,5.435294117647059,602
Abnormal Uterine Bleeding,Junel Fe 1 / 20,5.428571428571429,78
Abnormal Uterine Bleeding,Levonorgestrel,5.322463768115942,4023
Abnormal Uterine Bleeding,Mirena,5.2204724409448815,3924
Abnormal Uterine Bleeding,Conjugated estrogens,5.0,9
Abnormal Uterine Bleeding,Nora-Be,4.9,167
Abnormal Uterine Bleeding,Tri-Sprintec,4.84,207
Abnormal Uterine Bleeding,Ortho Tri-Cyclen Lo,4.75,21
Abnormal Uterine Bleeding,Provera,4.666666666666667,1469
Abnormal Uterine Bleeding,Microgestin Fe 1 / 20,4.6,21
Abnormal Uterine Bleeding,Gildess Fe 1.5 / 30,4.5,24
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,4.45945945945946,1011
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,4.388888888888889,671
Abnormal Uterine Bleeding,LoSeasonique,4.363636363636363,82
Abnormal Uterine Bleeding,Lutera,4.333333333333333,27
Abnormal Uterine Bleeding,Cryselle,4.333333333333333,19
Abnormal Uterine Bleeding,Levora,4.25,14
Abnormal Uterine Bleeding,Estarylla,4.181818181818182,43
Abnormal Uterine Bleeding,Alesse,4.142857142857143,22
Abnormal Uterine Bleeding,Norethindrone,4.064516129032258,886
Abnormal Uterine Bleeding,Heather,4.0,22
Abnormal Uterine Bleeding,Microgestin 1 / 20,4.0,19
Abnormal Uterine Bleeding,Falmina,4.0,2
Abnormal Uterine Bleeding,Sprintec,3.9444444444444446,265
Abnormal Uterine Bleeding,Seasonique,3.8947368421052633,332
Abnormal Uterine Bleeding,Aygestin,3.6666666666666665,33
Abnormal Uterine Bleeding,Jolessa,3.6666666666666665,11
Abnormal Uterine Bleeding,Premarin,3.6666666666666665,11
Abnormal Uterine Bleeding,Errin,3.5,41
Abnormal Uterine Bleeding,Gildess Fe 1 / 20,3.5,4
Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,3.5,0
Abnormal Uterine Bleeding,Tri-Previfem,3.3636363636363638,117
Abnormal Uterine Bleeding,Medroxyprogesterone,3.2905759162303663,6298
Abnormal Uterine Bleeding,Depo-Provera,3.1545189504373177,4770
Abnormal Uterine Bleeding,Quasense,3.0,37
Abnormal Uterine Bleeding,Chateal,3.0,0
Abnormal Uterine Bleeding,Ethinyl estradiol / ethynodiol,3.0,0
Abnormal Uterine Bleeding,Lyza,2.6,51
Abnormal Uterine Bleeding,Jolivette,2.25,66
Abnormal Uterine Bleeding,Amethia Lo,2.0,1
Abnormal Uterine Bleeding,Tri-Lo-Sprintec,1.1428571428571428,20
Abnormal Uterine Bleeding,Camila,1.0,23
